Artist,Venue,City,Country,Tour / Festival,Guests,Setlist?,Date,URL
Kids in the School,Canada Arrow Hall,Toronto,Canada,Rock the Bells 2008,,No,2008/07/20,
Killah Priest,London Music Hall,London,Canada,,,No,2011/12/21,
King Khan & the Shrines,Scala,London,UK,Idle No More,,Yes,2014/04/24,http://www.setlist.fm/setlist/king-khan-and-the-shrines/2014/scala-london-england-1bc33dc0.html
Knife Party,Parc Jean-Drapeau,Montreal,Canada,Osheaga 2012,,No,2012/08/05,
LCD Soundsystem,L'Olympia,Montreal,Canada,,,Yes,2010/05/24,http://www.setlist.fm/setlist/lcd-soundsystem/2010/metropolis-montreal-qc-canada-43d4cb7f.html
Library Voices,Call the Office,London,Canada,,,No,2011/10/06,
Little Dragon,Victoria Park,London,UK,Lovebox Festival 2015,,No,2015/07/18,
Little Dragon,Parc Jean-Drapeau,Montreal,Canada,Osheaga 2012,,No,2012/08/05,
Lupe Fiasco,Parc Jean-Drapeau,Montreal,Canada,Osheaga 2011,,Yes,2011/07/30,http://www.setlist.fm/setlist/lupe-fiasco/2011/parc-jean-drapeau-montreal-qc-canada-1bd09dc4.html
Lupe Fiasco,LeBreton Flats,Ottawa,Canada,Ottawa Bluesfest 2011,,No,2011/07/17,
Madeon,Parc Jean-Drapeau,Montreal,Canada,Osheaga 2012,,No,2012/08/05,
Malajube,The Hifi Club,Calgary,Canada,Sled Island Festival 2009,,No,2009/06/28,
Malajube,Parc Jean-Drapeau,Montreal,Canada,Osheaga 2011,,No,2011/07/31,
Malajube,LiveCity Yaletown,Vancouver,Canada,Winter Olympics 2010,,No,2010/02/15,
Manu Chao,LeBreton Flats,Ottawa,Canada,Ottawa Bluesfest 2007,,No,2007/07/07,
Matisyahu,LiveCity Yaletown,Vancouver,Canada,Winter Olympics 2010,,No,2010/02/15,
Method Man & Redman,Indig02,London,UK,,Streetlife,Yes,2014/07/20,http://www.setlist.fm/setlist/method-man-and-redman/2014/indigo2-london-england-33c10085.html
Method Man & Redman,Canada Arrow Hall,Toronto,Canada,Rock the Bells 2008,Streetlife,No,2008/07/20,
Metric,LeBreton Flats,Ottawa,Canada,Ottawa Bluesfest 2006,,No,2006/07/14,
Metronomy,Mangle Nightclub,London,UK,,*DJ Set,No,2016/08/25,
Metronomy,L'Olympia,Montreal,Canada,,,No,2012/04/01,
Micheal Franti & Spearhead,LeBreton Flats,Ottawa,Canada,Ottawa Bluesfest 2007,,No,2007/07/07,
Molotov Jukebox,Electric Brixton,London,UK,Boomtown 2015,,No,2015/03/21,
Molotov Jukebox,Oslo,London,UK,,,Yes,2016/12/02,http://www.setlist.fm/setlist/molotov-jukebox/2016/oslo-london-england-6be4da1a.html
Mos Def,Canada Arrow Hall,Toronto,Canada,Rock the Bells 2008,,No,2008/07/20,
Ms. Lauryn Hill,Governor's Island,New York City,USA,Rock the Bells 2010,,No,2010/08/28,
MSTRKRFT,Up on Carling,London,Canada,,,No,,
MSTRKRFT,Mansion Nightclub,London,Canada,,,No,,
MSTRKRFT,Mount Currie,Pemberton,Canada,Pemberton Festival 2008,,No,2008/07/26,
Murs,Canada Arrow Hall,Toronto,Canada,Rock the Bells 2008,,No,2008/07/20,
Muse,Emirates Stadium,London,UK,,,Yes,2013/05/25,http://www.setlist.fm/setlist/muse/2013/emirates-stadium-london-england-13d9ad59.html
N*E*R*D,Mount Currie,Pemberton,Canada,Pemberton Festival 2008,,No,2008/07/27,
Nas,Queen Elizabeth Olympic Park,London,UK,Wireless Festival 2013,,Yes,2013/07/14,http://www.setlist.fm/setlist/nas/2013/queen-elizabeth-olympic-park-london-england-6bc6be56.html
Nas,Canada Arrow Hall,Toronto,Canada,Rock the Bells 2008,,No,2008/07/20,
Nas & Damian Marley,Deer Lake Park,Burnaby,Canada,Rock the Bells 2009,,No,2009/08/01,
No Brain,City Hall Plaza,Seoul,South Korea,FIFA World Cup 2010,,No,2010/06/22,
Norah Jones,LeBreton Flats,Ottawa,Canada,Ottawa Bluesfest 2012,,Yes,2012/07/08,http://www.setlist.fm/setlist/norah-jones/2012/le-breton-festival-park-ottawa-on-canada-13df4d89.html
ODESZA,O2 Academy Brixton,London,UK,A Moment Apart,,Yes,2019/01/24,https://www.setlist.fm/setlist/odesza/2019/o2-academy-brixton-london-england-63959a43.html
of Montreal,Oval Space,London,UK,Lousy with Sylvianbriar,,Yes,2014/02/20,http://www.setlist.fm/setlist/of-montreal/2014/oval-space-london-england-23c55c13.html
OutKast,Finsbury Park,London,UK,Wireless Festival 2014,,Yes,2014/07/06,http://www.setlist.fm/setlist/outkast/2014/finsbury-park-london-england-23c1ec8b.html
Paul McCartney,The O2,London,UK,,Dave Grohl,Yes,2015/05/23,http://www.setlist.fm/setlist/paul-mccartney/2015/the-o2-arena-london-england-73c84ad9.html
People Under The Stairs,XOYO,London,UK,,,No,2012/09/25,
Pete Rock & CL Smooth,Jazz Café,London,UK,,,No,2012/11/13,
Pharrell,Hyde Park,London,UK,British Summer Time 2016,,No,2016/07/10,
Pixies,O2 Academy Brixton,London,UK,,,Yes,2016/12/06,http://www.setlist.fm/setlist/pixies/2016/o2-academy-brixton-london-england-4bfbfb66.html
Portugal. The Man,Parc Jean-Drapeau,Montreal,Canada,Osheaga 2012,,Yes,2012/08/04,http://www.setlist.fm/setlist/portugal-the-man/2012/parc-jean-drapeau-montreal-qc-canada-53dc1bc5.html
Preservation Hall Jazz Band,The SSE Arena,London,UK,Everything Now (Arcade Fire),,No,2018/04/12,
Public Enemy,The SSE Arena,London,UK,Gods of Rap,,Yes,2019/05/10,https://www.setlist.fm/setlist/public-enemy/2019/the-sse-arena-wembley-london-england-1390e589.html
Queens of the Stone Age,The SSE Arena,London,UK,…Like Clockwork,,Yes,2013/11/22,http://www.setlist.fm/setlist/queens-of-the-stone-age/2013/wembley-arena-london-england-33c4d46d.html
R. A. the Rugged Man,Jazz Café,London,UK,,"A.F.R.O., Mr. Green",Yes,2015/12/05,http://www.setlist.fm/setlist/ra-the-rugged-man/2015/jazz-cafe-london-england-43f2eb0f.html
Raekwon,London Music Hall,London,Canada,,,No,2012/01/22,
Rakim,Canada Arrow Hall,Toronto,Canada,Rock the Bells 2008,,No,2008/07/20,
Ratatat,Parc Jean-Drapeau,Montreal,Canada,Osheaga 2011,,Yes,2011/07/30,http://www.setlist.fm/setlist/ratatat/2011/parc-jean-drapeau-montreal-qc-canada-63d0a2b3.html
Red Hot Chili Peppers,Bell Centre,Montreal,Canada,Stadium Arcadium,,Yes,2006/09/28,http://www.setlist.fm/setlist/red-hot-chili-peppers/2006/centre-bell-montreal-qc-canada-43d6a3a7.html
Reflection Eternal,Deer Lake Park,Burnaby,Canada,Rock the Bells 2009,,No,2009/08/01,
Rizzle Kicks,Queen Elizabeth Olympic Park,London,UK,Wireless Festival 2013,,No,2013/07/14,
Rudimental,Victoria Park,London,UK,Lovebox Festival 2015,,No,2015/07/17,
RZA,Deer Lake Park,Burnaby,Canada,Rock the Bells 2009,"Boy Jones, Streetlife",No,2009/08/01,
Sam Roberts,Parc Jean-Drapeau,Montreal,Canada,Osheaga 2011,,Yes,2011/07/30,http://www.setlist.fm/setlist/sam-roberts-band/2011/parc-jean-drapeau-montreal-qc-canada-13d09d31.html
Sam Roberts,LeBreton Flats,Ottawa,Canada,Ottawa Bluesfest 2007,,No,2007/07/15,
Sam Roberts,Mount Currie,Pemberton,Canada,Pemberton Festival 2008,,No,2008/07/26,
Santana,Hyde Park,London,UK,British Summer Time 2018,,Yes,2018/07/08,https://www.setlist.fm/setlist/santana/2018/hyde-park-london-england-13ea5539.html
Santigold,Parc Jean-Drapeau,Montreal,Canada,Osheaga 2012,,Yes,2012/08/04,http://www.setlist.fm/setlist/santigold/2012/parc-jean-drapeau-montreal-qc-canada-bdcd54a.html
SBTRKT,Parc Jean-Drapeau,Montreal,Canada,Osheaga 2012,,No,2012/08/05,
Seal,LeBreton Flats,Ottawa,Canada,Ottawa Bluesfest 2012,,Yes,2012/07/08,http://www.setlist.fm/setlist/seal/2012/le-breton-festival-park-ottawa-on-canada-3df4d8f.html
Shad,London Music Hall,London,Canada,,,No,2011/04/07,
Shad,Major's Hill Park,Ottawa,Canada,Canada Day 2015,,Yes,2015/07/01,http://www.setlist.fm/setlist/shad/2015/majors-hill-park-ottawa-on-canada-1bf6adf0.html
Sheek Louch,London Music Hall,London,Canada,,,No,2011/12/21,
Shigeto,Oval Space,London,UK,,,No,2016/02/11,
Sigur Ros,Parc Jean-Drapeau,Montreal,Canada,Osheaga 2012,,Yes,2012/08/03,http://www.setlist.fm/setlist/sigur-ros/2012/parc-jean-drapeau-montreal-qc-canada-6bdce2ee.html
Slaughterhouse,Deer Lake Park,Burnaby,Canada,Rock the Bells 2009,,No,2009/08/01,
Slaves,London Stadium,London,UK,,,Yes,2018/07/23,https://www.setlist.fm/setlist/slaves/2018/london-stadium-london-england-73eac6cd.html
Slum Village,Deer Lake Park,Burnaby,Canada,Rock the Bells 2009,,No,2009/08/01,
Slum Village,Jazz Café,London,UK,,,No,2016/08/26,
Snoop Dogg,Victoria Park,London,UK,Lovebox Festival 2015,,Yes,2015/07/18,http://www.setlist.fm/setlist/snoop-dogg/2015/victoria-park-london-england-13f6c1a1.html
Snoop Dogg,Civic Center,Ottawa,Canada,,,No,2007/01/26,
Solomun,Gunnerbury Park,London,UK,Lovebox Festival 2019,,No,2019/07/12,
Songhoy Blues,Somerset House,London,UK,Summer Series at Somerset House 2017,,Yes,2017/07/16,https://www.setlist.fm/setlist/songhoy-blues/2017/somerset-house-london-england-73e5b65d.html
Sound City Players,HMV Forum,London,UK,,,Yes,2013/02/19,http://www.setlist.fm/setlist/sound-city-players/2013/the-forum-london-england-bdb2d8e.html
Soundgarden,LeBreton Flats,Ottawa,Canada,Ottawa Bluesfest 2011,,Yes,2011/07/05,http://www.setlist.fm/setlist/soundgarden/2011/le-breton-festival-park-ottawa-on-canada-3bd36050.html
Starcrawler,London Stadium,London,UK,,,No,2018/07/23,
Steve Miller Band,LeBreton Flats,Ottawa,Canada,Ottawa Bluesfest 2007,,Yes,2007/07/11,http://www.setlist.fm/setlist/steve-miller-band/2007/le-breton-festival-park-ottawa-on-canada-23d9d0c3.html
Steve Winwood,Hyde Park,London,UK,British Summer Time 2018,,Yes,2018/07/08,https://www.setlist.fm/setlist/steve-winwood/2018/hyde-park-london-england-1bea5538.html
Stevie Nicks,Hyde Park,London,UK,British Summer Time 2017,,Yes,2017/07/09,https://www.setlist.fm/setlist/stevie-nicks/2017/hyde-park-london-england-4be407d2.html
Stevie Wonder,Hyde Park,London,UK,British Summer Time 2016,,Yes,2016/07/10,http://www.setlist.fm/setlist/stevie-wonder/2016/hyde-park-london-england-63ffda37.html
Supernatural,Deer Lake Park,Burnaby,Canada,Rock the Bells 2009,B-Real,No,2009/08/01,
Supernatural,Canada Arrow Hall,Toronto,Canada,Rock the Bells 2008,DJ Scratch,No,2008/07/20,
Tanya Tagaq,Trafalgar Square,London,UK,Canada Day 2017,,No,2017/07/01,
The Black Keys,John Labatt Centre,London,Canada,,,Yes,2011/07/12,http://www.setlist.fm/setlist/the-black-keys/2011/john-labatt-centre-london-on-canada-43d34f33.html
The Black Keys,Bell Centre,Montreal,Canada,,,Yes,2012/03/13,http://www.setlist.fm/setlist/the-black-keys/2012/centre-bell-montreal-qc-canada-6bdeced2.html
The Bloody Beetroots,Telus Theatre,Montreal,Canada,,,No,2009/10/31,
The Cool Kids,Canada Arrow Hall,Toronto,Canada,Rock the Bells 2008,,No,2008/07/20,
The Flaming Lips,Parc Jean-Drapeau,Montreal,Canada,Osheaga 2011,,Yes,2011/07/31,http://www.setlist.fm/setlist/the-flaming-lips/2011/parc-jean-drapeau-montreal-qc-canada-33d09865.html
The Flaming Lips,LeBreton Flats,Ottawa,Canada,Ottawa Bluesfest 2011,,Yes,2011/07/05,http://www.setlist.fm/setlist/the-flaming-lips/2011/le-breton-festival-park-ottawa-on-canada-4bde8742.html
The Flaming Lips,Mount Currie,Pemberton,Canada,Pemberton Festival 2008,,Yes,2008/07/26,http://www.setlist.fm/setlist/the-flaming-lips/2008/pemberton-festival-pemberton-bc-canada-7bd40674.html
The Kills,London Stadium,London,UK,,,Yes,2018/07/23,https://www.setlist.fm/setlist/the-kills/2018/london-stadium-london-england-73eac6d5.html
The Lumineers,Hyde Park,London,UK,British Summer Time 2017,,Yes,2017/07/09,https://www.setlist.fm/setlist/the-lumineers/2017/hyde-park-london-england-73e40671.html
The Mars Volta,Bell Centre,Montreal,Canada,,,Yes,2006/09/28,http://www.setlist.fm/setlist/the-mars-volta/2006/centre-bell-montreal-qc-canada-23d5b0b7.html
The Pack A.D.,The Garage,London,UK,,,Yes,2014/05/07,http://www.setlist.fm/setlist/the-pack-ad/2014/the-garage-london-england-1bf5dd44.html
The Pharcyde,Under the Bridge,London,UK,,,No,2014/04/12,
The Pharcyde,KOKO,London,UK,,,No,2013/09/25,
The Pharcyde,Canada Arrow Hall,Toronto,Canada,Rock the Bells 2008,,No,2008/07/20,
The Roots,L'Olympia,Montreal,Canada,Montreal Jazzfest 2011,,Yes,2011/07/02,http://www.setlist.fm/setlist/the-roots/2011/metropolis-montreal-qc-canada-4bd36f26.html
The Sheepdogs,Trafalgar Square,London,UK,Canada Day 2013,,No,2013/07/01,
The Sheepdogs,The 100 Club,London,UK,,,Yes,2013/04/09,http://www.setlist.fm/setlist/the-sheepdogs/2013/100-club-london-england-73f3fe1d.html
The Sheepdogs,Oslo,London,UK,,,Yes,2015/11/17,http://www.setlist.fm/setlist/the-sheepdogs/2015/oslo-london-england-2bf2bc42.html
The Sheepdogs,Parc Jean-Drapeau,Montreal,Canada,Osheaga 2012,,Yes,2012/08/04,http://www.setlist.fm/setlist/the-sheepdogs/2012/parc-jean-drapeau-montreal-qc-canada-2bdcd052.html
The Shins,Parc Jean-Drapeau,Montreal,Canada,Osheaga 2012,,Yes,2012/08/05,http://www.setlist.fm/setlist/the-shins/2012/parc-jean-drapeau-montreal-qc-canada-3dcd54b.html
The Tragically Hip,Trafalgar Square,London,UK,Canada Day 2013,,Yes,2013/07/01,http://www.setlist.fm/setlist/the-tragically-hip/2013/trafalgar-square-london-england-3d901c7.html
The Tragically Hip,Parc Jean-Drapeau,Montreal,Canada,Osheaga 2011,,Yes,2011/07/31,http://www.setlist.fm/setlist/the-tragically-hip/2011/parc-jean-drapeau-montreal-qc-canada-1bd099fc.html
The Tragically Hip,Scotiabank Place,Ottawa,Canada,,,Yes,2007/02/02,http://www.setlist.fm/setlist/the-tragically-hip/2007/scotiabank-place-ottawa-on-canada-73d126a1.html
The White Stripes,LeBreton Flats,Ottawa,Canada,Ottawa Bluesfest 2007,,Yes,2007/07/08,http://www.setlist.fm/setlist/the-white-stripes/2007/le-breton-festival-park-ottawa-on-canada-13d60d09.html
Tiga,Manoir de Kéroual,Brest,France,,,No,2010/07/31,
Tinariwen,Village Underground,London,UK,,,No,2014/03/07,
TNGHT,Parc Jean-Drapeau,Montreal,Canada,Piknik Elektronik 2012,,No,,
Tokyo Police Club,London Music Hall,London,Canada,,,Yes,2011/04/02,http://www.setlist.fm/setlist/tokyo-police-club/2011/london-music-hall-london-on-canada-bd245fe.html
Tom Petty & The Heartbreakers,Hyde Park,London,UK,British Summer Time 2017,,Yes,2017/07/09,https://www.setlist.fm/setlist/tom-petty-and-the-heartbreakers/2017/hyde-park-london-england-5be407f4.html
Tom Petty & The Heartbreakers,Mount Currie,Pemberton,Canada,Pemberton Festival 2008,,No,2008/07/26,
Van Morrison,LeBreton Flats,Ottawa,Canada,Ottawa Bluesfest 2007,,No,2007/07/04,
Wild Beasts,Hyde Park,London,UK,British Summer Time 2014,,Yes,2014/07/03,http://www.setlist.fm/setlist/jake-bugg/2014/hyde-park-london-england-53c18735.html
Wolf Alice,The Hippodrome,London,UK,Visions of a Life,,Yes,2017/11/23,https://www.setlist.fm/setlist/wolf-alice/2017/the-hippodrome-kingston-upon-thames-england-2be0c83e.html
Wolfgang Gartner,Parc Jean-Drapeau,Montreal,Canada,Osheaga 2012,,No,2012/08/05,
Wu-Tang Clan,O2 Academy Brixton,London,UK,,Streetlife,Yes,2015/06/04,http://www.setlist.fm/setlist/wutang-clan/2015/o2-academy-brixton-london-england-7bc9f280.html
Wu-Tang Clan,Governor's Island,New York City,USA,Rock the Bells 2010,Boy Jones,No,2010/08/28,
Wu-Tang Clan,The SSE Arena,London,UK,Gods of Rap,Boy Jones,Yes,2019/05/10,https://www.setlist.fm/setlist/wutang-clan/2019/the-sse-arena-wembley-london-england-b90e58a.html
Wyclef Jean,LeBreton Flats,Ottawa,Canada,Ottawa Bluesfest 2008,Akon,No,2008/07/12,
"Yusuf Islam, Ozzy Osbourne & The O-Jays",The National Mall,"Washington, DC",USA,The Rally to Restore Sanity/Fear,,Yes,2010/10/30,http://www.setlist.fm/setlist/the-roots/2010/national-mall-washington-dc-73d5769d.html
Zeds Dead,London Music Hall,London,Canada,,,No,,
Zeds Dead,Parc Jean-Drapeau,Montreal,Canada,Osheaga 2012,,No,2012/08/03,
Zeus,LeBreton Flats,Ottawa,Canada,Ottawa Bluesfest 2012,,No,2012/07/10,